chunk_text,metadata
synchrony charged me a monthly maintenance fee on my ally savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen again,"{'complaint_id': 10001645, 'product_category': 'savings account', 'chunk_index': 0}"
someone made fraudulent purchases on my chase sapphire card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000510, 'product_category': 'credit card', 'chunk_index': 0}"
ally bank charged me a monthly maintenance fee on my chase savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen again,"{'complaint_id': 10001411, 'product_category': 'savings account', 'chunk_index': 0}"
the rewards program on my capital one venture card was changed without notice capital one devalued the points by nearly making the annual fee of no longer worth it i specifically chose this card for its rewards structure and feel this is a bait and switch tactic long time customers should be grandfathered into the original rewards program,"{'complaint_id': 10000045, 'product_category': 'credit card', 'chunk_index': 0}"
synchrony closed my ally savings account without warning citing business reasons i had in the account and it took weeks to receive a cashier s check no explanation was ever provided for the closure i have been a customer for years with no suspicious activity on the account,"{'complaint_id': 10001585, 'product_category': 'savings account', 'chunk_index': 0}"
my discover savings with chase was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this chase took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access,"{'complaint_id': 10001287, 'product_category': 'savings account', 'chunk_index': 0}"
i opened a ally savings with ally bank because they advertised a apy after three months the rate was quietly dropped to without notification when i called they said the promotional rate had expired but this was never clearly communicated at account opening i moved into this account specifically for the higher rate,"{'complaint_id': 10001337, 'product_category': 'savings account', 'chunk_index': 0}"
i sent via paypal through paypal to pay my landlord the money was deducted from my account but never received by the recipient it has been weeks and paypal has not been able to locate the funds or provide a refund i am now at risk of eviction because my rent appears unpaid,"{'complaint_id': 10002024, 'product_category': 'money transfer', 'chunk_index': 0}"
i accidentally sent to the wrong person through venmo via western union i realized the error within minutes and immediately contacted them to cancel they said the transaction was already completed and they cannot reverse it they suggested i ask the recipient nicely to send it back this is an unacceptable response for such a large amount,"{'complaint_id': 10002023, 'product_category': 'money transfer', 'chunk_index': 0}"
my marcus savings with ally bank was accessed by someone who changed my contact information and attempted to transfer out of my account when i reported this ally bank took weeks to investigate and temporarily restricted my access i am concerned about the security of their online banking platform and how this person gained access,"{'complaint_id': 10001407, 'product_category': 'savings account', 'chunk_index': 0}"
i tried to withdraw from my synchrony savings at ally bank and was told my account was frozen pending a security review no one informed me of any issues beforehand i had bills due and no access to my own money for weeks the customer service was unhelpful and could not tell me when the review would be completed,"{'complaint_id': 10001577, 'product_category': 'savings account', 'chunk_index': 0}"
discover charged me a late fee on my amex gold card even though i made my payment on time my bank records show the payment was initiated days before the due date when i called to dispute they said the payment was received one day late due to processing time this is unacceptable i should not be penalized for their slow processing system,"{'complaint_id': 10000472, 'product_category': 'credit card', 'chunk_index': 0}"
i have been trying to reach discover s customer service about an issue with my discover savings for weeks wait times exceed minutes and i have been disconnected times after waiting when i finally got through the representative could not resolve my issue and told me to call back this level of service is completely unacceptable for a bank holding my savings,"{'complaint_id': 10001413, 'product_category': 'savings account', 'chunk_index': 0}"
someone made fraudulent purchases on my capital one venture card totaling i reported this to citibank immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000209, 'product_category': 'credit card', 'chunk_index': 0}"
discover charged me a monthly maintenance fee on my synchrony savings that was supposed to be free when i called to dispute they said i did not maintain the minimum balance of even though my statements show i was always above that threshold i want all fees refunded and a guarantee this will not happen again,"{'complaint_id': 10001243, 'product_category': 'savings account', 'chunk_index': 0}"
someone made fraudulent purchases on my chase sapphire card totaling i reported this to american express immediately and they opened an investigation after weeks they denied my fraud claim saying the transactions appeared legitimate i have filed a police report and have evidence that i was in a different state when these transactions occurred,"{'complaint_id': 10000508, 'product_category': 'credit card', 'chunk_index': 0}"
